74,三田派出所,臺中市清水區中山路559號,police74,password74
75,光華派出所,臺中市沙鹿區光華路387號,police75,password75
76,明秀派出所,臺中市沙鹿區鎮南路一段450號,police76,password76
77,清泉派出所,臺中市沙鹿區公明里中清路六段176號,police77,password77
78,大秀派出所,臺中市清水區五權路438號,police78,password78
79,高美派出所,臺中市清水區護岸路29號,police79,password79
80,烏日分局,臺中市烏日區烏日里中山路2段309號,police80,password80
81,烏日派出所,?臺中市烏日區烏日里中山路2段309號1樓,police81,password81
82,?大肚分駐所,?臺中市大肚區頂街里沙田路3段38號,police82,password82
83,?龍井分駐所,?臺中市龍井區竹坑里沙田路4段245號,police83,password83
84,?五光派出所,?臺中市烏日區五光里環河路一段1200號,police84,password84
85,?溪南派出所,?臺中市烏日區北里里溪南路二段638號,police85,password85
86,?追分派出所,?臺中市大肚區王田里沙田路一段290號,police86,password86
87,?龍津派出所,臺中市龍井區龍津里中央路1段165巷36號,police87,password87
88,?龍東派出所,?臺中市龍井區龍東里茄投路67號,police88,password88
89,?麗水派出所,?臺中市龍井區福田里臨港東路2段317號,police89,password89
90,?犁份派出所,?臺中市龍井區新庄里遊園南路194號,police90,password90
91,?瑞井派出所,?臺中市大肚區遊園路1之1號,police91,password91
92,?三和派出所,?臺中市烏日區三和里三榮八路25號,police92,password92
93,?溪尾駐在所,?臺中市烏日區溪尾里溪岸路7號,police93,password93
94,霧峰分局,臺中市霧峰區吉峰里中正路1236號,police94,password94
95,霧峰派出所,臺中市霧峰區民權街37號,police95,password95
96,吉峰派出所,臺中市霧峰區吉峰里中正路1236號,police96,password96
97,萬豐派出所,臺中市霧峰區中正路157號,police97,password97
98,大里分駐所,臺中市大里區新興路5號,police98,password98
99,仁化派出所,臺中市大里區仁化路198號,police99,password99
100,內新派出所,臺中市大里區中興路二段598號,police100,password100
101,國光派出所,臺中市大里區永大街136號,police101,password101
102,成功派出所,臺中市大里區成功路9號,police102,password102
103,十九甲派出所,臺中市大里區立元路115號,police103,password103
104,四德派出所,臺中市霧峰區四德路541號,police104,password104
105,霧峰交通分隊,臺中市霧峰區四德路82號,police105,password105
106,太平分局,臺中市太平區中山路一段215號,police106,password106
107,太平派出所,臺中市太平區中興東路21號,police107,password107
108,新平派出所?,臺中市太平區新平路三段72號,police108,password108
109,坪林派出所?,臺中市太平區中山路一段215號,police109,password109
110,宏龍派出所?,臺中市太平區光興路900號,police110,password110
111,頭汴派出所,臺中市太平區長龍路二段11巷2號,police111,password111
112,東勢分局,臺中市東勢區豐勢路512號,police112,password112
113,石岡分駐所,臺中市石岡區豐勢路1021號,police113,password113
114,新社分駐所,臺中市新社區復盛里興社街二段28之3號,police114,password114
115,東勢派出所,臺中市東勢區豐勢路512號1樓,police115,password115
116,土牛派出所,臺中市東勢區和盛里豐勢路19號,police116,password116
117,東興派出所,臺中市新社區東興里興社街一段285號,police117,password117
118,永源派出所,臺中市新社區永源里中和街一段20號,police118,password118
119,中坑派出所,臺中市東勢區隆興里5鄰東坑路665號,police119,password119
120,茅埔派出所,臺中市東勢區慶東里東關路243號,police120,password120
121,石城派出所,臺中市東勢區泰興里石城街297號,police121,password121
122,福中派出所,臺中市新社區福興里美林45號,police122,password122
123,東勢交通小隊,臺中市新社區中和街五段118巷48之1號,police123,password123
124,和平分局,臺中市和平區南勢里東關路三段154號,police124,password124
125,和平派出所,臺中市和平區南勢里東關路三段270號,police125,password125
126,天輪派出所,臺中市和平區天輪區東關路二段33號,police126,password126
127,谷關派出所,臺中市和平區博愛里東關路一段125號,police127,password127
128,德基派出所,臺中市和平區梨山里和平路二段16-1號,police128,password128
129,梨山派出所,臺中市和平區梨山里中正路103號,police129,password129
130,松茂派出所,臺中市和平區梨山里中興路4段54號,police130,password130
131,環山派出所,臺中市和平區平等里平等村中興路2段47號,police131,password131
132,志良派出所,臺中市和平區平等里平等村中興路2段47號,police132,password132
133,勝光派出所,臺中市和平區平等里中興路段21號,police133,password133
134,雙崎派出所,臺中市和平區達觀里東崎路2段39號,police134,password134
135,竹林派出所,臺中市和平區達觀里東崎路1段89號,police135,password135
136,桃山派出所,臺中市和平區達觀里東崎路一段桃山巷7-2號,police136,password136
137,大棟派出所,臺中市和平區中坑里雪山路2號,police137,password137
138,雪山派出所,臺中市和平區中坑里雪山路10號,police138,password138
139,谷關警光山莊,臺中市和平區東關路一段溫泉巷8號,police139,password139
